1994:386.03
1995:387.01
1996:384.07
1997:325.82
1998:293.20
1999:377.1
2000:276.9
2001:272.71
2002:315.37
2003:366.6
2004:412
2005:458.37
2006:604.96
2007:718.78
2008:869.43
2009:984.94
2010:1246.77
2011:1597.15
2012:1670.13
2013:1381.57
2014:1314.29
