11.10.2013;-0.002;-0,002
18.10.2013;-0.033;-0,033
25.10.2013;-0.021;-0,021
01.11.2013;-0.002;-0,002
08.11.2013;-0.011;-0,011
15.11.2013;-0.009;-0,009
22.11.2013;-0.023;-0,023
29.11.2013;-0.008;-0,008
06.12.2013;-0.014;-0,014
13.12.2013;-0.04;-0,04
20.12.2013;0.001;0,001
30.12.2013;0.041;0,041
31.12.2013;-0.003;-0,003
06.01.2014;0.037;0,037
10.01.2014;-0.011;-0,011
17.01.2014;0.037;0,037
24.01.2014;-0.017;-0,017
31.01.2014;-0.024;-0,024
07.02.2014;-0.025;-0,025
14.02.2014;0.032;0,032
21.02.2014;0.013;0,013
28.02.2014;0.05;0,05
07.03.2014;-0.001;-0,001
14.03.2014;-0.038;-0,038
21.03.2014;-0.011;-0,011
28.03.2014;0.008;0,008
04.04.2014;0.029;0,029
11.04.2014;-0.012;-0,012
22.04.2014;-0.021;-0,021
25.04.2014;0.015;0,015
02.05.2014;-0.031;-0,031
09.05.2014;-0.04;-0,04
16.05.2014;-0.017;-0,017
23.05.2014;0.005;0,005
02.06.2014;0.005;0,005
06.06.2014;0.005;0,005
13.06.2014;-0.001;-0,001
20.06.2014;0.004;0,004
27.06.2014;0.005;0,005
04.07.2014;0.02;0,02
11.07.2014;-0.008;-0,008
18.07.2014;0.028;0,028
25.07.2014;0.037;0,037
04.08.2014;-0.007;-0,007
08.08.2014;0.006;0,006
15.08.2014;0.006;0,006
22.08.2014;-0.006;-0,006
29.08.2014;-0.006;-0,006
05.09.2014;0.044;0,044
12.09.2014;-0.03;-0,03
19.09.2014;-0.037;-0,037
26.09.2014;-0.04;-0,04
03.10.2014;-0.037;-0,037
10.10.2014;-0.029;-0,029
17.10.2014;-0.017;-0,017
24.10.2014;0.006;0,006
31.10.2014;-0.009;-0,009
07.11.2014;-0.01;-0,01
14.11.2014;0.01;0,01
21.11.2014;-0.015;-0,015
28.11.2014;0.009;0,009
05.12.2014;-0.032;-0,032
12.12.2014;-0.057;-0,057
19.12.2014;-0.003;-0,003
30.12.2014;0.005;0,005
06.01.2015;0.053;0,053
09.01.2015;0.017;0,017
16.01.2015;-0.145;-0,145
23.01.2015;-0.023;-0,023
30.01.2015;0.004;0,004
06.02.2015;0.043;0,043
13.02.2015;0.055;0,055
20.02.2015;0.07;0,07
27.02.2015;0.047;0,047
06.03.2015;0.004;0,004
13.03.2015;-0.013;-0,013
20.03.2015;-0.057;-0,057
